Date,SPX Index,HSI Index,AAXJ US Equity,USGG2YR Index,USGG10YR Index,EURUSD Curncy,GBPUSD Curncy,USDJPY Curncy,AUDUSD Curncy,USDKRW Curncy,USDTWD Curncy,USDPHP Curncy,USDIDR Curncy,USDINR Curncy,USDMYR Curncy,USDSGD Curncy,USDTHB Curncy,CLA Comdty,XAU Curncy
6/5/2020,3193.93,25057.22,69.85,0.1603,0.6526,1.1101,1.2343,107.83,12/30/1899,1197.75,29.708,49.866,14020,76.2125,4.2512,1.4135,31.353,47.7,1730.27
6/8/2020,3232.39,25049.73,70.02,0.1564,0.6591,1.1136,1.2492,107.59,12/30/1899,1191.3,29.718,50.185,14133,76.165,4.2457,1.4074,31.155,46.41,1739.55
6/9/2020,3207.18,24480.15,69.61,0.1623,0.6852,1.117,1.2551,108.68,12/30/1899,1196.8,29.667,50.358,14115,76.145,4.2635,1.4004,30.948,46.99,1727.7
6/10/2020,3190.14,24301.38,70.45,0.19,0.7458,1.1233,1.2575,108.9,12/30/1899,1203.9,29.639,50.055,14090,76.1862,4.2787,1.3979,30.98,47.16,1699.67
6/11/2020,3002.1,23776.95,66.97,0.194,0.8234,1.1338,1.2597,109.15,12/30/1899,1216.15,29.618,50.035,14083,76.025,4.2768,1.3983,31.118,45.32,1714.01
6/12/2020,3041.31,24344.09,68.26,0.2062,0.8951,1.1292,1.2668,109.59,12/30/1899,1207.15,29.612,50.165,14078,75.645,4.283,1.3935,31.083,45.02,1685.06
6/15/2020,3066.59,24481.41,67.46,0.2261,0.8752,1.1294,1.2724,108.43,12/30/1899,1214,29.632,50.065,14100,75.7213,4.2782,1.3879,31.235,46.03,1698.53
6/16/2020,3124.74,24464.94,68.14,0.2024,0.8253,1.134,1.2728,107.76,12/30/1899,1208.2,29.624,50.135,14150,75.6687,4.2675,1.3892,31.087,46.12,1715.33
6/17/2020,3113.49,24643.89,68.67,0.1667,0.7263,1.1374,1.2747,107.12,12/30/1899,1209.65,29.576,50.176,14162,75.6475,4.2787,1.3833,31.007,45.27,1738.7
6/18/2020,3115.34,24511.34,68.91,0.1967,0.669,1.1299,1.2602,106.87,12/30/1899,1215.85,29.542,49.983,14130,75.5813,4.2752,1.3931,31.022,45.09,1727.7
6/19/2020,3097.74,24907.34,68.7,0.193,0.7034,1.1256,1.254,107.38,12/30/1899,1208.8,29.567,50.015,14175,75.5087,4.272,1.3926,30.958,45,1730.75
6/22/2020,3117.86,24781.58,69.71,0.189,0.7215,1.1323,1.2605,107.33,12/30/1899,1199.5,29.552,49.933,14220,75.5963,4.2782,1.3918,30.84,45.56,1725.16
6/23/2020,3131.29,24549.99,70.35,0.1992,0.7528,1.1264,1.2573,107.32,12/30/1899,1204.7,29.516,49.865,14245,75.0063,4.2905,1.3947,30.932,45.12,1726.53
6/24/2020,3050.33,24301.28,69.62,0.1952,0.738,1.1244,1.2555,107.01,12/30/1899,1200.7,29.525,49.822,14265,74.6488,4.2835,1.3934,30.923,44.41,1726.95
6/25/2020,3083.76,24427.19,69.79,0.1933,0.7084,1.1205,1.2424,106.97,12/30/1899,1198.7,29.471,49.829,14283,74.6837,4.2863,1.3941,30.885,44.55,1722.93
6/26/2020,3009.05,25124.19,69.2,0.1855,0.6937,1.1178,1.235,106.87,12/30/1899,1202.9,29.487,49.75,14378,74.9362,4.2863,1.3974,30.905,44.62,1743.87
6/29/2020,3053.24,25373.12,69.38,0.1917,0.7085,1.1261,1.2469,106.91,12/30/1899,1203.35,29.521,49.566,14523,75.0213,4.286,1.3924,30.943,45.41,1754.43
6/30/2020,3100.29,26339.16,69.17,0.1857,0.7118,1.1308,1.252,106.52,12/30/1899,1199.95,29.506,49.384,14490,74.995,4.2873,1.3911,31.073,44.65,1768.41
7/1/2020,3115.86,25975.66,69.88,0.1876,0.679,1.1251,1.2419,107.04,12/30/1899,1198.65,29.523,49.533,14440,75.205,4.278,1.3933,31.13,44.98,1761.17
7/2/2020,3130.01,26129.18,71.71,0.1857,0.6856,1.1218,1.2419,107.19,12/30/1899,1195.75,29.521,49.495,14410,75.19,4.276,1.3914,31.265,45.48,1763.79
7/6/2020,3179.72,26210.16,75.27,0.1661,0.6413,1.1219,1.2336,107.22,12/30/1899,1195.75,29.536,49.414,14395,75.43,4.272,1.3935,31.24,45.63,1771.29
7/7/2020,3145.32,25727.41,73.84,0.1485,0.6234,1.1242,1.2298,107.58,12/30/1899,1195.45,29.507,49.483,14435,75.15,4.2625,1.3935,31.19,45.59,1772.82
7/8/2020,3169.94,25772.12,75.76,0.1485,0.6561,1.1234,1.2401,107.93,12/30/1899,1195.7,29.525,49.443,14425,75.1937,4.2668,1.3936,31.29,46.24,1780.96
7/9/2020,3152.05,25477.89,75.65,0.1603,0.6758,1.1251,1.2475,107.47,12/30/1899,1204.45,29.528,49.54,14450,75.02,4.2638,1.3937,31.38,46.25,1770.09
7/10/2020,3185.04,25481.58,75.09,0.1526,0.6693,1.1239,1.2468,107.5,12/30/1899,1200.65,29.522,49.487,14588,74.9162,4.271,1.3947,31.577,46.4,1775.38
7/13/2020,3155.22,24970.69,74.74,0.1526,0.6693,1.1248,1.2483,107.51,12/30/1899,1205.75,29.509,49.548,14625,74.745,4.263,1.3945,31.515,46.06,1775.95
7/14/2020,3197.52,25089.17,74.72,0.1566,0.6759,1.1309,1.2492,107.35,12/30/1899,1200.55,29.472,49.443,14703,74.7625,4.2685,1.3921,31.667,46.32,1784.68
7/15/2020,3226.56,25057.99,74.83,0.1567,0.6397,1.1274,1.2542,107.52,12/30/1899,1205.5,29.478,49.382,14785,74.765,4.2645,1.3951,31.72,46.52,1794.86
7/16/2020,3215.57,25635.66,73.45,0.1587,0.6644,1.133,1.261,107.26,12/30/1899,1205.05,29.5,49.394,14741,74.8275,4.2635,1.3912,31.81,46.33,1808.89
7/17/2020,3224.73,25057.94,73.94,0.1508,0.6135,1.1285,1.2606,107.2,12/30/1899,1203.3,29.42,49.37,14650,74.835,4.261,1.3921,31.665,46.3,1803.55
